Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 164     2.2       608  944.7  23.2 63.7  16.0  19   2.8 298.5 23.180818 120.375091 12.08     628    196
 165     2.3       610  944.5  23.2 63.7  15.9  19   2.8 298.5 23.180797 120.375078 12.07     631    196
 166     2.4       612  944.2  23.2 63.7  15.9  19   2.8 298.5 23.180775 120.375066 12.07     634    196
 167     2.5       615  943.9  23.1 63.7  15.9  19   2.8 298.5 23.180753 120.375054 12.06     636    196
 168     2.5       617  943.7  23.1 63.7  15.9  19   2.8 298.5 23.180729 120.375044 12.05     639    196
 169     2.5       620  943.4  23.1 63.7  15.9  18   2.8 298.4 23.180705 120.375035 12.05     642    196
 170     2.4       622  943.1  23.1 63.7  15.9  18   2.7 298.4 23.180681 120.375026 12.04     645    196
 171     2.5       625  942.9  23.1 63.7  15.9  18   2.7 298.4 23.180657 120.375018 12.04     647    196
 172     2.6       627  942.6  23.1 63.8  15.9  18   2.7 298.4 23.180634 120.375009 12.04     650    196
 173     2.7       630  942.3  23.1 63.8  15.9  18   2.7 298.4 23.180611 120.374999 12.04     653    196
 174     2.8       633  942.0  23.0 63.8  15.8  18   2.7 298.4 23.180588 120.374989 12.03     656    196
 175     2.7       636  941.7  23.0 63.8  15.8  17   2.7 298.3 23.180565 120.374979 12.01     658    196
 176     2.6       638  941.4  23.0 63.7  15.8  17   2.7 298.3 23.180543 120.374970 11.99     661    196
 177     2.6       641  941.2  23.0 63.7  15.8  17   2.7 298.3 23.180520 120.374963 11.98     664    196
 178     2.5       643  940.9  23.0 63.6  15.7  17   2.6 298.3 23.180496 120.374955 11.96     666    196
 179     2.5       646  940.6  23.0 63.6  15.7  17   2.6 298.3 23.180473 120.374948 11.95     669    196
 180     2.5       648  940.3  22.9 63.5  15.7  17   2.6 298.2 23.180449 120.374941 11.93     672    196
 181     2.4       651  940.1  22.9 63.5  15.7  16   2.6 298.2 23.180425 120.374936 11.92     675    196
 182     2.3       653  939.8  22.9 63.5  15.7  16   2.6 298.2 23.180402 120.374931 11.93     677    196
 183     2.3       655  939.6  22.9 63.6  15.7  16   2.6 298.2 23.180378 120.374929 11.94     680    196
 184     2.5       658  939.3  22.9 63.7  15.7  16   2.5 298.2 23.180353 120.374926 11.96     682    196
 185     2.7       661  939.0  22.9 63.7  15.7  16   2.5 298.2 23.180328 120.374922 11.97     685    196
 186     2.7       663  938.7  22.9 63.7  15.7  16   2.5 298.2 23.180304 120.374917 11.95     688    196
 187     2.7       666  938.4  22.9 63.6  15.7  16   2.5 298.2 23.180282 120.374911 11.94     690    196
 188     2.7       669  938.2  22.9 63.6  15.7  16   2.5 298.2 23.180264 120.374904 11.93     693    196
 189     2.7       671  937.9  22.9 63.7  15.6  16   2.5 298.2 23.180248 120.374896 11.93     694    196
 190     2.7       674  937.6  22.9 63.7  15.6  16   2.5 298.2 23.180233 120.374888 11.94     696    196
 191     2.4       677  937.3  22.8 63.8  15.6  16   2.4 298.1 23.180218 120.374879 11.94     698    196
 192     2.2       679  937.1  22.8 63.8  15.6  16   2.4 298.1 23.180202 120.374872 11.94     700    196
 193     2.0       681  936.9  22.8 63.9  15.6  16   2.4 298.1 23.180184 120.374865 11.93     702    196
 194     2.0       683  936.7  22.8 63.9  15.6  16   2.4 298.1 23.180164 120.374860 11.93     704    196
 195     2.1       685  936.4  22.8 63.9  15.6  16   2.4 298.1 23.180141 120.374856 11.92     707    196
 196     2.2       687  936.2  22.7 63.9  15.6  16   2.4 298.0 23.180118 120.374852 11.92     710    196
 197     2.2       689  935.9  22.7 64.0  15.6  17   2.4 298.0 23.180096 120.374847 11.92     712    196
 198     2.4       692  935.7  22.7 64.0  15.6  17   2.4 298.0 23.180075 120.374843 11.93     714    196
 199     2.5       694  935.4  22.7 64.0  15.6  17   2.4 298.0 23.180054 120.374838 11.92     717    196
 200     2.6       697  935.1  22.7 63.9  15.6  18   2.4 298.0 23.180035 120.374833 11.90     719    196
 201     2.5       699  934.9  22.7 63.7  15.5  18   2.4 298.0 23.180016 120.374826 11.88     721    196
 202     2.3       701  934.6  22.7 63.5  15.5  18   2.4 298.0 23.179997 120.374819 11.84     723    196
 203     2.2       704  934.4  22.7 63.3  15.4  19   2.4 298.0 23.179977 120.374812 11.79     726    196
 204     2.2       706  934.2  22.7 62.8  15.3  19   2.5 298.0 23.179957 120.374804 11.71     728    196
 205     2.2       708  933.9  22.8 62.4  15.2  20   2.5 298.0 23.179937 120.374795 11.65     730    196
 206     2.0       710  933.7  22.8 62.2  15.2  20   2.5 298.0 23.179916 120.374786 11.64     733    196
 207     1.9       712  933.5  22.8 62.2  15.2  21   2.5 298.0 23.179893 120.374777 11.65     736    196
 208     2.0       714  933.3  22.7 62.2  15.2  21   2.5 298.0 23.179870 120.374768 11.64     738    196
 209     2.3       716  933.1  22.7 62.1  15.1  22   2.5 298.0 23.179848 120.374758 11.61     741    196
 210     2.6       719  932.8  22.7 61.8  15.1  22   2.5 298.0 23.179827 120.374748 11.56     743    196
 211     2.7       722  932.4  22.7 61.5  15.0  23   2.5 298.0 23.179806 120.374739 11.51     746    196
 212     2.5       724  932.2  22.8 61.3  15.0  23   2.5 298.0 23.179784 120.374730 11.48     749    196
 213     2.1       726  932.0  22.8 61.1  14.9  24   2.6 298.0 23.179761 120.374720 11.46     751    196
 214     2.0       728  931.8  22.8 60.9  14.9  24   2.6 298.0 23.179737 120.374709 11.45     754    196
