Sonde serial number                          	R2030542
Balloon release date and time                	2021-04-02T21:00:01
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
 212     3.0       989  903.0  20.7  65.0  13.9 328   1.4 295.9 23.178940 120.375836 11.13     819    187
 213     3.1       992  902.7  20.7  65.0  13.9 330   1.4 295.9 23.178936 120.375847 11.13     819    187
 214     3.3       995  902.4  20.7  65.1  13.9 331   1.3 295.9 23.178931 120.375857 11.14     820    186
 215     3.5       998  902.0  20.7  65.1  13.9 333   1.3 295.8 23.178922 120.375865 11.13     821    186
 216     3.5      1002  901.6  20.7  65.1  13.9 334   1.3 295.8 23.178911 120.375871 11.11     822    186
 217     3.3      1005  901.3  20.7  64.8  13.8 336   1.2 295.8 23.178898 120.375873 11.07     823    186
 218     3.1      1008  900.9  20.7  64.5  13.7 338   1.2 295.8 23.178883 120.375875 11.01     825    186
 219     3.0      1011  900.7  20.6  64.0  13.6 340   1.2 295.7 23.178870 120.375876 10.92     826    186
 220     3.1      1015  900.3  20.6  63.2  13.4 342   1.2 295.7 23.178857 120.375877 10.79     828    186
 221     3.2      1018  900.0  20.7  62.2  13.2 344   1.2 295.7 23.178845 120.375875 10.62     829    186
 222     3.2      1021  899.6  20.7  61.1  12.9 345   1.2 295.7 23.178833 120.375872 10.45     830    186
 223     3.0      1024  899.3  20.7  60.1  12.7 347   1.1 295.7 23.178823 120.375869 10.28     831    186
 224     2.9      1027  899.0  20.7  59.5  12.5 349   1.1 295.7 23.178814 120.375867 10.18     832    186
 225     2.8      1030  898.7  20.7  59.4  12.5 350   1.1 295.7 23.178807 120.375866 10.16     833    186
 226     2.7      1032  898.5  20.7  59.5  12.5 352   1.1 295.6 23.178802 120.375865 10.18     834    186
 227     2.7      1035  898.2  20.6  59.5  12.5 353   1.1 295.6 23.178797 120.375864 10.17     834    186
 228     2.8      1038  897.9  20.6  59.2  12.4 354   1.1 295.6 23.178791 120.375863 10.11     835    186
 229     3.0      1041  897.6  20.6  58.7  12.3 355   1.1 295.5 23.178784 120.375863 10.02     836    186
 230     3.1      1044  897.3  20.6  57.9  12.1 356   1.1 295.5 23.178774 120.375861  9.88     837    186
 231     3.1      1047  896.9  20.6  56.7  11.7 356   1.1 295.5 23.178763 120.375861  9.68     838    186
 232     3.1      1050  896.6  20.6  54.7  11.2 357   1.1 295.5 23.178751 120.375861  9.35     839    186
 233     3.2      1053  896.3  20.7  52.2  10.6 357   1.2 295.5 23.178739 120.375862  8.96     841    186
 234     3.1      1056  896.0  20.7  50.6  10.2 357   1.2 295.5 23.178727 120.375862  8.70     842    186
 235     3.1      1059  895.6  20.8  49.5   9.8 357   1.2 295.4 23.178717 120.375862  8.52     843    186
 236     2.9      1062  895.3  20.8  48.1   9.5 357   1.2 295.4 23.178707 120.375861  8.30     844    186
 237     2.8      1065  895.1  20.8  46.8   9.1 357   1.2 295.4 23.178696 120.375861  8.09     845    186
 238     2.8      1068  894.8  20.8  45.8   8.8 357   1.2 295.4 23.178686 120.375862  7.93     847    186
 239     3.0      1071  894.5  20.9  45.3   8.6 356   1.2 295.4 23.178677 120.375864  7.85     848    186
 240     3.1      1074  894.1  20.8  45.2   8.6 356   1.2 295.4 23.178667 120.375866  7.84     849    186
 241     3.1      1077  893.8  20.8  45.2   8.6 355   1.2 295.4 23.178657 120.375868  7.82     850    186
 242     3.1      1080  893.5  20.8  45.1   8.5 355   1.2 295.4 23.178646 120.375869  7.81     851    186
 243     3.1      1083  893.2  20.8  45.2   8.5 354   1.2 295.3 23.178634 120.375870  7.80     852    186
 244     3.0      1086  892.9  20.8  45.2   8.5 353   1.2 295.3 23.178620 120.375869  7.80     854    186
 245     2.8      1089  892.6  20.7  45.2   8.5 352   1.2 295.3 23.178605 120.375867  7.79     855    186
 246     2.7      1092  892.3  20.7  45.2   8.5 351   1.2 295.3 23.178589 120.375863  7.79     857    186
 247     2.7      1095  892.0  20.7  45.2   8.5 351   1.2 295.2 23.178573 120.375860  7.78     859    186
 248     2.7      1097  891.7  20.7  45.3   8.5 350   1.3 295.2 23.178557 120.375859  7.78     861    186
 249     2.8      1100  891.4  20.7  45.3   8.4 349   1.3 295.2 23.178545 120.375861  7.78     862    186
