Sonde serial number                          	S2251154
Balloon release date and time                	2021-04-01T10:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 207     5.5      1268  871.8  20.5 83.7  17.7 164   3.6 296.3 23.188353 120.378733 14.73     300     43
 208     6.3      1274  871.2  20.5 83.8  17.7 164   3.6 296.3 23.188378 120.378702 14.74     300     42
 209     5.9      1280  870.6  20.5 83.8  17.7 165   3.6 296.3 23.188405 120.378672 14.75     300     41
 210     6.2      1286  870.0  20.5 83.6  17.6 165   3.6 296.3 23.188436 120.378648 14.73     301     40
 211     5.3      1291  869.4  20.5 83.2  17.6 166   3.6 296.3 23.188473 120.378634 14.66     304     40
 212     5.1      1296  868.8  20.5 82.1  17.4 167   3.6 296.3 23.188513 120.378632 14.49     307     39
 213     6.1      1303  868.2  20.6 80.0  17.0 168   3.6 296.3 23.188553 120.378637 14.21     311     39
 214     7.5      1310  867.5  20.7 78.0  16.7 169   3.5 296.3 23.188589 120.378640 13.92     314     38
 215     6.2      1316  866.9  20.7 76.6  16.5 170   3.5 296.3 23.188621 120.378640 13.70     317     38
 216     7.1      1323  866.2  20.7 75.7  16.3 171   3.5 296.3 23.188649 120.378634 13.56     319     37
 217     6.5      1330  865.5  20.7 75.2  16.2 172   3.4 296.3 23.188675 120.378627 13.47     321     37
 218     7.0      1337  864.8  20.7 74.4  16.0 173   3.4 296.2 23.188701 120.378623 13.31     323     37
 219     8.6      1345  864.1  20.7 73.1  15.8 174   3.4 296.2 23.188726 120.378620 13.11     325     36
 220     7.7      1353  863.4  20.7 72.1  15.5 175   3.3 296.2 23.188750 120.378617 12.95     327     36
 221     6.5      1360  862.7  20.7 71.7  15.4 177   3.3 296.2 23.188773 120.378617 12.86     329     36
 222     4.7      1364  862.0  20.7 71.6  15.4 178   3.3 296.1 23.188797 120.378622 12.83     331     36
 223     7.0      1371  861.3  20.6 71.4  15.3 178   3.2 296.1 23.188824 120.378635 12.77     335     35
 224     8.1      1379  860.7  20.6 70.5  15.1 179   3.2 296.0 23.188858 120.378655 12.60     339     35
 225     8.5      1388  860.0  20.6 69.1  14.8 180   3.1 296.0 23.188897 120.378679 12.35     344     35
 226     5.6      1394  859.3  20.6 67.5  14.4 181   3.1 295.9 23.188936 120.378700 12.08     349     35
 227     4.9      1398  858.7  20.6 66.4  14.2 182   3.0 295.9 23.188977 120.378712 11.89     353     35
 228     6.9      1405  858.1  20.6 65.9  14.0 182   3.0 295.9 23.189018 120.378709 11.79     357     34
 229     7.0      1412  857.5  20.6 65.5  13.9 183   2.9 295.8 23.189057 120.378696 11.70     359     34
 230     5.9      1418  856.9  20.6 64.9  13.7 183   2.8 295.8 23.189094 120.378680 11.59     362     33
 231     5.9      1424  856.3  20.6 63.9  13.5 184   2.8 295.8 23.189125 120.378667 11.43     364     33
 232     4.9      1429  855.7  20.6 62.5  13.2 184   2.7 295.7 23.189150 120.378661 11.18     366     33
 233     5.4      1434  855.1  20.6 60.9  12.8 185   2.6 295.7 23.189170 120.378661 10.91     368     32
 234     5.1      1440  854.6  20.6 59.8  12.5 185   2.6 295.6 23.189189 120.378664 10.70     370     32
 235     7.5      1447  854.0  20.5 58.8  12.2 185   2.5 295.6 23.189209 120.378669 10.51     372     32
 236     5.2      1452  853.4  20.5 57.7  11.9 185   2.4 295.5 23.189230 120.378676 10.31     374     32
 237     6.7      1459  852.8  20.5 56.5  11.6 185   2.4 295.5 23.189249 120.378683 10.09     377     32
 238     5.3      1464  852.1  20.5 55.0  11.2 185   2.3 295.4 23.189264 120.378686  9.81     378     32
 239     6.9      1471  851.5  20.5 53.2  10.7 186   2.2 295.4 23.189273 120.378687  9.50     379     32
 240     6.1      1477  850.8  20.5 51.6  10.3 186   2.2 295.3 23.189278 120.378687  9.23     379     32
 241     6.6      1484  850.1  20.5 51.1  10.1 186   2.1 295.3 23.189281 120.378688  9.14     380     32
