100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20210401_13:02:24.40,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,-0.00,4.39,-0.10,4.39,180.00,-5.12,2.19,-0.10,5.57,113.20,0.73,6.21,0.10,6.26,186.71,-0.91,2.56,0.07,2.72,160.35,-1.46,9.14,0.15,9.26,170.91,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-12.06,-0.37,-2.45,12.31,88.26,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:24.92,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,0.37,4.39,-0.05,4.40,184.76,-4.39,2.19,-0.20,4.91,116.57,0.73,5.30,0.22,5.35,187.85,-0.00,2.19,0.15,2.20,180.00,-1.46,9.14,0.15,9.26,170.91,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-12.06,-0.37,-2.45,12.31,88.26,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:25.45,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,1.46,4.39,-0.20,4.63,198.43,-2.56,1.83,-0.39,3.17,125.54,1.28,8.41,0.07,8.50,188.65,-0.00,2.56,0.20,2.57,180.00,-1.46,9.14,0.15,9.26,170.91,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-6.76,-0.37,-3.16,7.47,86.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:25.98,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,2.56,4.39,-0.05,5.08,210.26,-2.92,1.83,-0.44,3.48,122.01,0.18,8.41,-0.07,8.41,181.25,-0.00,1.28,0.02,1.28,180.00,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-6.76,-0.37,-3.16,7.47,86.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:26.51,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,3.29,4.39,0.05,5.48,216.87,-2.92,1.83,-0.44,3.48,122.01,0.18,8.41,-0.07,8.41,181.25,0.55,1.64,-0.10,1.74,198.43,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-6.76,-0.37,-3.16,7.47,86.91,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:27.03,99.9,99.9,999.9,001,1.10,0.55,-1.35,1.82,243.43,0.37,4.39,0.24,4.41,184.76,-2.92,1.83,-0.44,3.48,122.01,1.28,8.41,0.07,8.50,188.65,-0.18,1.64,0.00,1.65,173.66,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-6.76,-2.92,-2.82,7.89,66.61,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:27.56,99.9,99.9,999.9,001,1.10,1.46,-1.22,2.20,216.87,0.37,4.39,0.24,4.41,184.76,-2.92,1.83,-0.44,3.48,122.01,1.28,8.41,0.07,8.50,188.65,-0.18,3.11,-0.20,3.12,176.63,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-6.76,-5.48,-2.47,9.05,50.96,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:28.09,99.9,99.9,999.9,001,1.10,1.46,-1.22,2.20,216.87,0.37,4.39,0.24,4.41,184.76,-2.56,1.46,-0.44,2.98,119.74,0.18,8.41,-0.07,8.41,181.25,-0.18,3.11,-0.20,3.12,176.63,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-1.46,-5.48,-3.18,6.51,14.93,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:28.61,99.9,99.9,999.9,001,1.10,1.46,-1.22,2.20,216.87,0.37,4.39,0.24,4.41,184.76,-2.56,1.83,-0.49,3.18,125.54,0.18,8.41,-0.07,8.41,181.25,0.73,2.19,-0.59,2.39,198.43,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-1.46,-5.48,-3.18,6.51,14.93,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:29.14,99.9,99.9,999.9,001,1.10,1.46,-1.22,2.20,216.87,0.37,4.39,0.24,4.41,184.76,-1.10,1.46,-0.64,1.94,143.13,0.18,8.41,-0.07,8.41,181.25,0.73,2.19,-0.59,2.39,198.43,-4.02,9.14,-0.20,9.99,156.25,-5.85,10.23,-0.49,11.80,150.26,-5.48,6.21,-1.96,8.52,138.58,-1.46,-5.48,-3.18,6.51,14.93,-1.46,-0.73,-1.47,2.20,63.43
